token,lemma
audomari_rebuffo,audomari_rebuffo
auenio,auenius
auff,auf
auffgericht,aufgericht
auffs,auf
aufgehobene,aufheben
aug,aug
augiae,augiae
augirte,augirt
augsburg,augsburg
augspurg,augsburg
augustanae,augustanus
augustini,augustinus
auliae,aulia
aurea,aureus
aureae,aureus
aurelia,aurelia
aureum,aureus
auriaco,auriaco
auschreibe,ausschreiben
ausfuehrliche,ausführlich
ausführliche,ausführlich
ausführung,ausführung
ausgefertiget,ausgefertiget
auslegung,auslegung
ausschreib,ausschreiben
ausschreibe,ausschreiben
ausserlesener,auserlesen
austregis,austregis
auswaertiges,auswärtig
auswärtiger,auswärtig
auszuge,auszug
authent,authenticus
author,author
authoritate,authoritas
autoris,author
autres,autres
aux,aux
auß,aus
babel,babel
bambergische,bamberg
ban,bann
bannforste,bann forst
bannito,bann
banns,bann
bapstumb,Papstum
baroni,baro
baronii,baro
barrum,barrum
bartolomaeo,bartolomaeus
batauae,batauia
bayer,bayern
bedencke,bedenken
begnadigunge,begnadigung
begreifft,begriffen
begriff,begriff
behauptete,behaupten
beht,beten
beklagte,beklagt
belangendt,belangend
belehrung,belehrung
belgico,belgicus
belustigung,belustigung
benachbarte,benachbart
bendorpii,bendorpii
bened,bened
bened,benedictinus
benedictinae,benedictinus
benedictiner,benedictinus
benno,benno
bergensi,bergensi
bericht,bericht
bernardi,bernardus
bernhardi,bernhardus
beschaydt,bescheid
bescheide,bescheid
beschlus,beschluss
beschreibung,beschreibung
besonder,besonder
betreffend,betreffend
bey,bei
beygefügte,beigefugt
beytra¨ge,beitrage
beyträge,beitrage
bibel,biblia
bibel,biblia
bible,biblia
biblia,biblia
biblia,biblia
biblicae,biblia
biblicarum,biblia
biblicos,biblia
biblicum,biblia
biblicus,biblia
bibliophilia,bibliophilia
bibliotha,bibliotheca
bibliotheca,bibliotheca
bifrons,bifrons
biß,biß
blanco,blancus
bodleianae,bodleiana
boerii,boerii
bohemiae,bohemia
bohemicarum,bohemia
bolognini,bolognini
bonifacii,bonifacii
bonifacii_de_uitalinis,bonifacii_de_uitalinis
bonifacio,bonifacius
bononiensis,bononiensis
brauchbare,brauchbar
braunschweig,braunschweig
britanniae,britannia
britannicae,britannia
britannicarum,britannia
brixiense,brixiensis
brocke,brocke
brun,brun
brunsuicensi,braunschweig
buch,buch
buchdruckerkun,buchdruckerkun
buchonia,buchonia
budaei,budaeus
buergerliches,bürgerlich
bull,bull
bulle,bull
bunds,bund
bundsoberste,bund oberst
burdegalenses,burdegalenses
burgerschaft,burgerschaft
buss,büssen
buß,büssen
bußposau,bußposau
bücher,buch
büchernachdruck,buchernachdruck
büchlei,büchlein
bürgerische,bürgerisch
bürgersch,burgersch
cabinets,cabinet
cabinetsthaler,cabinetsthaler
caceserani,caceserani
caepolla,caepolla
caesarea,caesar
caesarei,caesar
caesarem,caesar
caesareo,caesar
caesareus,caesar
caesaribus,caesar
caesarum,caesar
caii,Gaius
caius,Gaius
caluinisme,caluinisme
cambialis,cambialis
cambiis,cambium
camera,cammer
camerae,cammer
camerale,cammer
camerale,cameralis
cameralem,cameralis
cameralem,cammer
camerales,cammer
camerales,cameralis
cameralibus,cammer
cameralibus,cameralis
cameralis,cameralis
cameralis,cammer
cameralium,cammer
cameralium,cameralis
cameræ,camera
cameræ,cammer
cammer,cammer
cammer,cammer
cammeral,cammer
cammeralsache,cammeralsache
cammergericht,cammer gericht
cammergerichts,cammer gericht
cammergerichtsordnung,cammer gericht ordnung
campania,campanus
campano,campanus
canones,canon
canonici,canonicus
canonico,canonicus
cantzeley,Kanzlei
capelle,capelle
capitulatio,capitulatio
capucium,capucium
capycio,capycio
cardinali,cardinalis
cardinalis,cardinalis
carl,Carolus
carls,Carolus
carmelitas,carmelitas
caroli,Carolus
carolini,Carolus
carolo,Carolus
carols,Carolus
carpzouiana,Carpzov
carpzouii,Carpzov
cartesii,cartesii
casaubono,casaubono
casselische,cassel
casus,casus1
casuum,casus1
catechismus,catechismus
cathalonia,cathalonia
catholi,catholicus
catholiques,catholiques
catholische,catholische
catilinischer,catilinischer
catzenelnbogische,catzenelnbogen
cau,causa
causae,causa
cautelarum,cautelis
cautelis,cautelis
caßliche,caßliche
ccclxxii,ccclxxii
centuria,centuria
centuria,centurio1
centuries,centuria
centuries,centuries
ceremoniale,ceremonial
ceremonie,ceremonium
chaeronensis,chaeronensis
changement,changement
chanoines,chanoines
charitate,charitas
charlemagne,charlemagne
chartarii,chartarius
chemnitio,chemnitio
chemnitiolyserianae,chemnitiolyserianae
china,china
chirothecarum,chirotheca
chirurgica,chirurgica
chretiennes,chretiennes
chri,christus
christe,christus
christenthumb,christenthumb
christi,christus
christianarum,christianus
christiani,christianus
christianis,christianus
christianorum,christianus
christinae,christina
christliche,christlich
christlicher,christlich
christo,christus
chronica,chronicon
chronick,chronicon
chronick,chronick
chronicon,chronicon
chronographica,chronographica
chronologia,chronologia
chronologica,chronologia
chronologico,chronologia
chronologicum,chronologia
chrysostomus,chrysostomus
chuchalo,chuchalo
chur,chur
churfuerstlich,kurfürstlich
churfürstliche,kurfürstlich
churfürstliche,kurfürstlich
churfürstliche,kurfürstlich
churfürstlicher,kurfürstlich
chwalkouii,chwalkouii
ciceronis,cicero
circa,circa
ciuil,civilis1
ciuil,civilis1
ciuile,civilis1
ciuili,civilis1
ciuilib,civilis1
ciuilis,civilis1
claudii,claudius
clauis,clauis
clauium,clauis
clecher,clecher
clementinarum,clementina
clerge,clerge
clerico,clericus
clinica,clinicus
cod,codex
codex,codex
codice,codex
codicem,codex
codicis,codex
codicum,codex
codicûm,codex
coelum,coelum
coenobio,coenobium
collecta,collectus
collectae,collectus
collecti,collectus
collectis,collectus
collectoribus,collector
collectus,collectus
comitialia,comitialia
comitis,comitus
commentara,commentarius
commentara,commentaria
commentaria,commentarius
commentariolus,commentariolus
commentariolus,commentarius
commercie,commercien
commerciensache,commercien sache
commissaires,commissaires
commissariis,commissarus
communibus,communis
communis,communis
complectentibus,complectere
concept,concept
concernentia,concernentia
conciliationes,conciliatio
concionum,concio
conclusionum,conclusio
concordatorum,concordatum
concordiae,concordia1
concordibus,concordia1
confess,confess
confutationes,confutatio
coniecturarum,coniectura
connoissance,connoissance
connubiorum,connubium
connubiorum,conubium
consarcinate,consarcinare
consil,consilium
consilia,consilium
consilia,consilium
consilio,consilium
consilium,consilium
consistoralis,consistoralis
consistorialis,consistorial
constantiensis,constantiensis
continuationibus,continuatio
continuirte,continuirt
contracte,contracte
contractibus,contractus2
contractus,contractus2
contrahenda,contractus2
contre,contre
controuersarum,controversia
controuersarum,controuersa
controuerse,controuerse
contumacialis,contumacialis
conuentionali,conuentionalis
conuiuales,convivalis
copeylicher,copeylicher
cornel,cornelius
cornelii,cornelius
co¨l,coeln
creys,kreis
creysuerfassung,kreis verfassung
crimilaium,criminalis
criminal,criminalis
criminale,criminalis
criminalem,criminalis
criminales,criminalis
criminalia,criminalis
criminalis,criminalis
criminalium,criminalis
criti,criticus
criticae,criticus
criticorum,criticus
croisades,croisades
crow,crow
curwürde,kurwürde
dallegmagne,allegmagne
daniae,danius
dans,dans
darmstadt,darmstadt
dasselische,casselisch
dauidis,dauidis
dccclxxxi,dccclxxxi
dccxliu,dccxliu
debitorum,debitus
decade,decas
decadem,decas
decadence,decadence
decades,decas
decinum,decinum
decisionum,decisio
decret,decretum
decreta,decretum
decretales,decretales
decretales,decretales
decretalium,decretales
decreti,decretum
decretis,decretum
decretorum,decretum
decretum,decretum
defense,defense
delatis,delatus
delineatio,delineatio
deliurance,deliurance
delphinatus,delphinatus
denckwürdige,denkwürdig
denckwürdige,denkwurdig
dendrologia,dendrologia
dendrologiae,dendrologia
depictae,depictus
determinantur,determinare
deuchariste,euchariste
deudoxe,eudoxe
deutsch,deutsch
deutsche,deutsch
deutschland,deutschland
deutschmanns,deutschmanns
deux,deux
deß,dess
diabete,diabete
diarii,diarius
diatetico,diateticus
diatribe,diatriba
dictionnaire,dictionnaire
didactica,didacticus
didacticus,didacticus
dieselbige,diesselbige
diexodo,diexodo
diffamari,diffamare
differents,differents
diffinitiones,diffinitiones
dig,digestum
dig,digestum
digesti,digestum
digestorum,digestum
digestum,digestum
digestum,digestum
diligentiis,diligentiis
diocesis,diocesis
dioecesis,diocesis
diplomatica,diplomaticus
diplomaticus,diplomaticus
diplomatik,diplomatik
diplomatum,diplomaticus
discours,discours
discursus,discursus2
discussa,discussio
discussio,discussio
discussiones,discussio
disquisitionum,disquisitio
diss,dissertatio
diuersarum,diuersus
diuersorum,diuersus
diuina,divinus
diuino,divinus
doccident,occident
doct,doctor
doctorum,doctor
doctrine,doctrine
domains,domains
dominicalia,dominicalia
dont,dont
door,door
dosnabrug,dosnabrug
dr,dr
dreissig,dreissig
drey,drei
dreyeich,dreyeich
durchleuchtige,durchleuchtig
détails,details
ecclesiastes,ecclesiastes
ecclesiastes,ecclesiastes
ecclesiastica,ecclesiastes
ecclesiasticae,ecclesiastes
ecclesiasticarum,ecclesiastes
ecclesiastici,ecclesiastes
ecclesiasticis,ecclesiastes
ecclesiasticis,ecclesiastes
ecclesiasticis,ecclesiastes
ecclesiasticorum,ecclesiastes
ecclesiasticum,ecclesiastes
ecclesiasticum,ecclesiastes
ecclesiæ,ecclesiastia
edbenintendi,edbenintendi
edit,edit
edit,editus
edita,edit
edita,editus
editas,editus
editio,editio
editione,editio
editis,editus
editorum,editus
editum,editus
egidio,egidio
egmundanum,egmundanum
ehe,ehe
ehegerichts,ehe gericht
ehemalige,ehemalig
eherstl,eherstl
ehrsame,ehrsam
eich,eich
eigentlicher,eigentlicher
einbeckische,einbeckisch
eingeführte,einführen
einkünfte,einkünft
einleitung,einleitung
elbert,elbert
electoralia,elector
electoralib,elector
electoris,elector
element,element
elemente,element
elsassisch,elsassisch
emendatae,emendatus
emendationibus,emendatio
emendatum,emendatus
emphyteutici,emphyteuticus
emphyteutico,emphyteuticus
enantiophano,enantiophano
enarrationes,enarratio
enchiridio,enchiridion
encomium,encomium
end,end
englebermaei,englebermaei
enthaelt,enthalten
enthaltend,enthalten
entretiens,entretiens
entscheidunge,entscheidung
enucleatissimæ,enucleare
ephemerides,ephemeris
ephemeridum,ephemeris
ephemeridum,ephemeris
epidictica,epidictica
epimenides,epimenides
epinikio,epinikion
episopatu,episcopatus
epistel,epistula
epistolae,epistula
epistolam,epistula
epistolarum,epistula
epistole,epistula
epistolica,epistolicus
epistolicum,epistolicus
epistolicum,epistolicus
epitomes,epitome
erachtete,erachtet
erb,erb
erbhofaemter,erb hof amt
erbor,erbor
erdbeschreibung,erdbeschreibung
erde,erde
erfindung,erfindung
ergangene,ergehen
erkantnuß,erkenntnis
erklaerung,erklaerung
erkwick,erquicken
erkwickstunde,erkwickstunde
erläuterung,erlaeuterung
erneuerte,erneuert
erneuerter,erneuert
erneuertes,erneuert
erneuwerte,erneuert
ernewerte,erneuert
ernsthaffter,ernsthaffter
erotemata,erotemata
erse,erse
ertzbischoue,erzbischof
eryth,Eryth
erzehlunge,erzähhlung
esaiam,Esaia
ethnicorum,ethnicus
etliche,etliche
euangelia,euangelium
euangelica,euangelistus
euangelicae,euangelistus
euangelicum,euangelistus
euangeliorum,euangelium
euangelische,euangelisch
euangelisches,euangelisch
euangelistarum,euangelistus
euangelistas,euangelistus
euangelium,euangelium
euangl,euangelistus
eucharistica,eucharistica
eueques,eueques
europ,europa
europa,europa
europae,europa
europaearum,europa
europaei,europa
europaeische,europa
europaeum,europa
europa¨ische,europa
europäische,europa
europäischer,europa
euxi,Euxinus
exacte,exact
exame,exame
excommunicationis,excommunicationis
executione,executio
executionis,executio
executions,executio
executiui,executiv
exegeseos,exegeseos
exegetica,exegetica
exemplarium,exemplar
exodum,exodus
exodus,exodus
exoticorum,exoticus
expurgandorum,expurgare
extant,existere
extraiudicialis,extraiudicialis
extraordinaire,extraordinaire
ezechielem,ezechiel
faculta¨te,facultas
faite,faite
familie,familie
familienstaatsrecht,familie staatsrecht
fancicum,fancicum
felericis,felericis
fenins,fenins
ferdinand,ferdinand
ferrariensis,ferrariensis
ferratio,ferratio
ferrendar,ferrendar
feudales,feudal*
feudales,feudal*
feudalia,feudal*
feudalia,feudal*
feudalibus,feudal*
feudalis,feudal*
feudalis,feudal*
feudalium,feudal*
feudalium,feudal*
feudi,feudal*
feudis,feudal*
feudorum,feudal*
feuerwerck,feuerwerk
fewerzeugk,feuerzeug
ff,ff
fichardi,fichard
fichardo,fichard
fide,fides1
fidem,fides1
fides,fides1
figures,figures
fixarum,fixus
flandriae,flandriae
florentinae,florentinus
florentinus,florentinus
florilegium,florilegium
flsassische,elsassisch
fonctions,fonctions
for,forum
forestalis,forestalis
fori,forum
formular,formular
formularbuch,formular buch
formulæ,formular
foro,forum
forste,forst
forstlicher,forst
foy,foy
frage,frage
fragische,fragisch
franc,franc
france,france
france,france
france,france
france,france
francicae,franc
francicae,franc
francisco,francisco
francke,franc
franckfurt,Frankfurt
franckfurtische,Frankfurt
francofortense,Frankfurt
francofurdiense,Frankfurt
francofurtensis,Frankfurt
francorum,franc
francos,franc
franke,franc
frankfurt,Frankfurt
frankfurtisches,Frankfurt
frankreich,frankreich
französische,französisch
französische,franzoesisch
freclebe,freclebe
freiburg,freiburg
frey,frei
freyburg,freiburg
freye,frei
freyheite,freiheit
freyheite,frei
fridens,frieden
fridenszeite,fridenszeite
fridere,fridere
friderici,fridericus
fridericiana,fridericus
fridericiano,fridericus
friedberg,friedberg
friedens,frieden
friedensexecutionshandlunge,frieden execution handlung
friedenshandlunge,frieden handlung
frirdres,frirdres
frontini,frontinus
fuerstenthumb,fürstentum
fuerstlich,fürst
fugiendarum,fugere
fuldensem,fuldensis
fuldenses,fuldenses
fuldensis,fuldensis
fuldensium,fuldensis
fuldischer,fuldensis
fundationis,fundationis
furstenbergiana,furstenberg
fünffte,fünffte
fürste,fürst
fürstlich,fürstlich
fürstliche,fürstlich
fürstliche,fürstlich
fürtreffliche,fürtrefflich
galeni,galeni
gallia,gallia
galliarum,gallia
gallier,gallier
gambilionibus,gambilio
gandino,gandino
gantz,ganz
gantze,ganz
gebiete,gebiete
gebrueder,gebrüder
geburt,geburt
gebürg,gebürg
geendert,geändert
geendert,geaendert
gefaehrlicher,gefährlich
gefaehrlicher,gefaehrlich
gegenbericht,gegenbericht
gegentheil,gegenteil
gegruendete,gegründet
gehaltene,gehalten
gehaltener,gehalten
gehandelt,gehandelt
geheim,geheim
geistliche,geistlich
geistlicher,geistlich
gelege,gelegen
gelegene,gelegen
gemeine,gemein
gemeiner,gemein
genannte,genannt
genealogica,genealogicus
genealogicae,genealogicus
genealogicarum,genealogicus
genealogico,genealogicus
genealogicohistorica,genealogicus historicus
genereuses,genereuses
genomme,genommen
gentilshommes,gentilshommes
genuensis,genuensis
geographiae,geographia
geographica,geographia
geographica,geographia
geographica,geographia
geographicam,geographia
geographicum,geographia
geopent,geopent
georg,georg
georgii,georg
gerechtigkeit,gerechtigkeit
gerechtigkeite,gerechtigkeit
gerechtsame,gerechtsam
gericht,gericht
gerichtliche,gericht
gerichtliche,gerichtlich
gerichtlicher,gerichtlich
gerichtlicher,gericht
gerichts,gericht
gerichtsbarkeit,gerichtsbarkeit
gerichtsordnung,gericht ordnung
germa,german*
germani,german*
germania,german*
germania,german*
germaniae,german*
germaniae,german*
germaniam,german*
germanica,german*
germanicae,german*
germanicarum,german*
germanici,german*
germanici,german*
germanico,german*
germanicorum,german*
germanicum,german*
germanicus,german*
germanorum,german*
gesammlete,gesammelt
geschicht,geschichte
geschichtbuch,geschichte buch
geschichte,geschichte
geschichts,geschichte
geschichtserzehlunge,geschichtserzaehlung
geschichtsregister,geschichtsregister
geschlechts,geschlecht
geschlechtsregister,geschlecht register
geschäffte,geschäft
geschütz,geschütz
geschützfeuerwerck,geschütz feuerwerck
gesetzbuch,gesetz buch
gesetze,gesetz
gespräche,gespräch
gesta,gestum
gestas,gestum
gestellt,gestellt
gestis,gestum
getreffe,getreffe
gewohnheite,gewohnheit
gistman,gistman
glieder,glied
glokke,glocke
glossa,glossa
glossarium,glossa
glossarium,glossa
glossatoris,glossator
glossatum,glossa
glossis,glossa
glossis,glossa
glossopetris,glossopetris
gnade,gnade
gnadensache,gnade sache
gnadenschatz,gnade schatz
golde,golden
goldes,gold
gothana,gothana
gothici,gothicus
gothicus,gothicus
gothofredi,gothofredus
gottfried,gottfried
gottlieb,gottlieb
graeca,graecus
graecae,graecus
graecae,graecus
graecae,graecus
graecae,graecus
graecae,graecus
graecarum,graecus
graece,graecus
graeci,graecus
graeci,graecus
graeciae,graecus
graeciae,graecus
graecis,graecus
graecorum,graecus
grafe,graf
grafschafte,graf
gram,gram
grand,grand
gratiani,gratianus
grauamina,grauamina
grecs,grecs
greek,greek
greg,greg
gregoire,gregoire
greste,greste
grille,grille
grossherzogl,grossherzoglich
grund,grund
grundfeste,grundfeste
grundgesetze,grundgesetze
grundsätze,grundsatz
grundtliche,gründlich
gräfflich,gräfflich
gründliche,gründlich
gründlicher,gründlich
gründtlicher,gründlich
gualtense,gualtensis
gudii,gudii
guelde,guelde
guerres,guerres
gueter,gut
guillielmi,guillielmi
guldene,gulden
gunthero,guntherus
gus,gus
gutachte,gutachte
göttliche,göttlich
gülde,golden
güter,gut
habits,habits
habsburgicae,Habsburg
haeresibus,haeresis
halberstadt,halberstadt
hals,hals
halßgerichtßordnung,halßgerichtßordnung
hamisah,hamisah
hanau,hanau
hanauische,hanau
handbuch,handbuch
handels,handel
handelsstadt,handelsstadt
handlunge,handlung
hanouerische,hanoverisch
hanouiensium,hanau
hanseaticis,hanseaticis
haupt,haupt
hauptarticul,hauptarticul
hauptarticul,haupt articul
hauptregister,haupt register
hausbuch,haus buch
hausbuch,hausbuch
hebraea,hebraeus
hebraeae,hebraeus
hebraeo,hebraeus
hebraeo,hebraeus
hebraeorum,hebraeus
hebraeos,hebraeus
hebraica,hebraeus
hebraico,hebraeus
heidelberg,heidelberg
heil,heilig
heilige,heilig
hellenistica,hellenistica
heluetia,heluetia
hennebergische,hennebergisch
henrici,henricus
henricum,henricus
henricus,henricus
heraldici,heraldicus
herculis,herculis
hered,hereditas
hern,herr
herodoti,herodotus
heroicarum,heroicus
herr,herr
herre,herr
herrschaft,herrschaft
herzog,herzog
hess,hesse
hesse,hesse
hessencasselische,Hesse-Cassel
hessendarmstadt,Hesse-Darmstadt
hessische,hesse
hessisches,hesse
heyl,heilig
heylige,heilig
heyls,heilig
hierarchia,hierarchia
hierarchicae,hierarchia
hiermische,hiermische
hieroglyphica,hieroglyphica
hieronymi,hieronymus
hildensheim,hildesheim
hildensheim,hildensheim
hildesheim,hildesheim
hirsaugiensis,hirsaugiensis
hispania,hispania
hispanicus,hispanicus
histoire,histoire
historae,historia
histori,historia
historicae,historia
historie,historia
historisch,historia
historische,historia
historischer,historia
hochgeborne,hochgeborn
hochlöbliche,hochloblich
hochzeitsglückwunsch,hochzeitsglückwunsch
hodegeta,hodegeta
hodegeticum,hodegeta
hoechste,höchst
hof,hof
hoff,hof
hoffgerichts,hof gericht
hofgerichts,hof gericht
hoh,hoh
holzhusiorum,holzhausen
homagio,homagium
homiliae,homiliae
horticultura,horticultura
huis,huis
humse,humse
hundert,hundert
hundsbisse,hundsbisse
hungaria,hungaria
hungaricae,hungaria
hungaricarum,hungaria
hungaricarum,hungaria
hungaricis,Hungaria
hypnologia,hypnologia
hypochondriacae,hypochondriacae
hystericae,hystericae
ia,ia
iacob,iacob
iacobs,iacob
iacobsschatz,iacobs schatz
iahr,jahr
ibid,ibid
ic,ic
ichoribus,ichoribus
iconoclastes,iconoclastes
ictorum,ictorum
ideam,ideam
iephtae,iephtae
ieremiam,ieremiam
ierusalem,ierusalem
iesu,iesus
iesus,iesus
iesus,iesus
iesuschri,iesus
iii,iii
illustrantia,illustratio
illustrata,illustratio
illustratae,illustratio
illustrationes,illustratio
illustratum,illustratio
illustriarum,illustrius
illustriarum,illustris
illustrissimorum,illustrius
illustrissimorum,illustris
imgleiche,imgleich
immunitete,immunitas
immunitete,immunitete
imp,imperium
imperalis,imperium
imperalis,imperalis
imperatorum,imperator
imperialem,imperium
imperiali,imperium
imperialia,imperium
imperialis,imperium
imperialium,imperium
impltrandis,impetrandis
impressorum,impressorum
incarnatio,incarnatio
index,index
indice,index
indices,index
indiciis,index
ineditis,ineditus
ineditorum,ineditus
ineditum,ineditus
infimæ,infimæ
informatorium,informatorium
infortiat,infortiatum
infortiati,infortiatum
inge,inge
inne,inne
innouatis,innouatus
insbesondere,insbesondere
instituta,institutio
insubricae,insubricae
insup,insuper
intitulez,intitulez
ioa,iohannis
ioanne,iohannis
ioannis,iohannis
iobum,Job
ioh,iohannis
ioha,iohannis
iohan,iohannis
iohannem,iohannis
iohannis,iohannis
ionstoni,ionstoni
iournal,journal
ir,ir
isaaco,isaacus
italia,italia
italiae,italia
italici,italia
itinerarii,itinerarius
iu,IV
iuculentus,iuculentus
iudaeos,iudaeus
iudaica,iudaeus
iudaica,iudaeus
iudaicae,iudaeus
iude,iudaeus
iudenpredigte,iudenpredigte
iudicatarum,judico
iudiciaram,iudaeus
iudiciarius,iudiciarius
iugurtischem,iugurtisch
iulii,iulius
iureconsi,iurisconsultus
iurid,iuridicus
iuridia,iuridicus
iuridica,iuridicus
iuridicae,iuridicus
iuridicorum,iuridicus
iuriscons,iurisconsultus
iurisconsi,iurisconsultus
iurisprudentia,iurisprudentia
iurisprudentiae,iurisprudentia
iuriste,iurist
ius,jus
iustifiee,iustifiee
iustiniana,justinianus
iustinianeas,justinianus
iustinianei,justinianus
iustinianeum,justinianus
iustiniani,justinianus
iustinianus,justinianus
iustiz,iustiz
iustizsache,iustiz sache
iustizuerfassung,iustiz uerfassung
iüdisch,iüdisch
iüdischteutsche,iüdisch teutsch
kaiser,kaiser
kaiserliche,kaiser
kanzlei,kanzlei
kay,kay
kay,kaiser
kays,kaiser
kayser,kaiser
kayserl,kaiser
kayserlich,kaiser
kayserliche,kaiser
kaysers,kaiser
kedd,kedd
keddische,keddische
kenntnis,kenntnis
kenntniss,kenntnis
ker,kern
kett,kett
ketzer,ketzer
ketzerhistorie,ketzer historia
keyser,kaiser
keyserliche,kaiser
kiiouienses,kiiouienses
kirche,kirche
kirchenordnung,kirche ordnung
kirchenordnung,kirchenordnung
kirchenpostill,kirchenpostill
kirchenrecht,kirchenrecht
kirchenrecht,kirche recht
kirchenstats,kirchenstats
kirchenstats,kirche staat
kircherianum,kircherianum
kirchke,kirche
kla¨ger,klaeger
kloester,Kloster
klöster,Kloster
koenig,könig
koheleth,koheleth
ko¨nigliche,könig
kraft,kraft
kraftker,kraftker
kreutterbuch,kreutterbuch
krieg,krieg
kriegs,Krieg
kriegsarbeit,kriegsarbeit
kriegshändel,kriegshändel
kriegskun,kriegskun
kuerfuerste,kurfürst
kuerzer,kurz
kun,kun
kurfürste,kurfürst
kurtz,kurz
kurtz,kurtz
kurtze,kurz
käiser,kaiser
könig,könig
königl,könig
königliche,könig
könne,könne
lambassadeur,ambassadeur
land,land
landbescriebung,land beschreibung
lande,land
lander,land
landes,land
landesbeschreibung,land beschreibung
landesherrliche,land herr
landeshoheit,land hoheit
landfriede,land fried
landgraf,land graf
landgrafe,land graf
landgraffe,land graf
landgraffschaft,land graf
landgraft,land graf
landgrau,land graf
landordnung,land ordnung
landrecht,land recht
landrecht,land recht
landsaessige,land saessig
landsiedel,land siedel
landstaende,land stand
landstaende,land stand
landtgraffe,land graf
landtgraffe,land graf
landts,land
lanne,anne
larianisme,arianisme
lassemblee,assemblee
lateinischer,latein
lateranensi,lateranensi
latin,latinus
latina,latinus
latine,latinus
latini,latinus
latinis,latinus
latino,latinus
latinum,latinus
lebe,lebe
lege,lex
legend,legend
leges,lex
legis,lex
leglise,eglise
leh,lehen
lehens,lehen
lehensuerfassung,lehen uerfassung
lehnhof,lehn hof
lehnrecht,lehn recht
lehre,lehre
lehrgebäude,lehrgebäude
leichpredigt,leichpredigt
leichpredigte,leichpredigt
leichpredigte,leichpredigt
leichteste,leichteste
lempire,empire
leonini,leonini
les,les
lesprit,esprit
letablissement,etablissement
lethalium,lethalium
lettere,lettere
lettre,lettre
leuaminum,leuaminum
leucharistie,eucharistie
leuckfeldi,leuckfeldi
leuiticum,Leviticus
leuiticus,Leviticus
lexici,lexicon
lexico,lexicon
leyhe,leihe
lheresie,heresie
lhistoire,histoire
lib,liber4
liber,liber4
libr,liber4
libri,liber4
